,date,symbol,pos_type,fut_gap_filled
72,2020-06-16,AAPL,short,-0.2042560703
484,2020-06-16,F,short,0.1621620577
272,2020-06-16,TSLA,short,1.360857405
557,2020-06-16,MSFT,short,-0.6379762871
485,2020-06-19,F,short,0.3225803971
273,2020-07-02,TSLA,short,-0.6477169133
486,2020-07-02,F,short,-0.1666666667
274,2020-07-06,TSLA,short,-0.8434510919
275,2020-07-07,TSLA,short,1.043074213
276,2020-07-09,TSLA,short,0.4692985683
410,2020-07-10,NFLX,short,-0.2940683065
277,2020-07-13,TSLA,short,0.6431137277
411,2020-07-13,NFLX,short,1.442595247
278,2020-07-14,TSLA,short,1.120796334
487,2020-07-15,F,short,-0.8888888889
279,2020-07-16,TSLA,long,-0.2076969959
412,2020-07-17,NFLX,long,-0.7318574421
280,2020-07-23,TSLA,short,1.287924562
558,2020-07-23,MSFT,long,-0.1820136774
73,2020-07-24,AAPL,long,0.06729581408
281,2020-07-24,TSLA,long,-0.4952609131
282,2020-07-28,TSLA,long,0.7050520983
488,2020-07-30,F,long,-0.5
74,2020-07-31,AAPL,short,-0.6923069179
489,2020-07-31,F,short,1.466664335
559,2020-08-03,MSFT,short,-0.8341014494
490,2020-08-04,F,short,-0.1818181818
283,2020-08-12,TSLA,short,-0.6339296829
284,2020-08-13,TSLA,short,-0.2222614122
285,2020-08-14,TSLA,short,-0.1282102868
286,2020-08-18,TSLA,short,-0.1494878014
287,2020-08-21,TSLA,short,-0.5408820456
75,2020-08-24,AAPL,short,0.09994354982
288,2020-08-24,TSLA,short,1.604979602
289,2020-08-28,TSLA,short,0.9265590402
76,2020-08-31,AAPL,short,-0.4301170586
77,2020-09-01,AAPL,short,-0.4005395992
78,2020-09-02,AAPL,short,2.105568702
79,2020-09-03,AAPL,long,-0.5701575703
290,2020-09-03,TSLA,long,-0.3878927125
80,2020-09-08,AAPL,long,-0.281027275
560,2020-09-08,MSFT,long,-0.5445156546
413,2020-09-08,NFLX,long,0.3371112898
614,2020-09-08,GOOG,long,-0.472362854
81,2020-09-09,AAPL,short,-0.5495493004
291,2020-09-09,TSLA,short,-0.4281929533
561,2020-09-09,MSFT,short,-0.8178111734
414,2020-09-09,NFLX,short,1.18539316
82,2020-09-10,AAPL,short,1.585518127
292,2020-09-10,TSLA,short,0.2870046825
293,2020-09-11,TSLA,short,1.022640575
83,2020-09-14,AAPL,short,-0.2941183673
294,2020-09-14,TSLA,short,-0.07047215043
84,2020-09-15,AAPL,short,0.5892226697
295,2020-09-15,TSLA,short,-0.6540741141
296,2020-09-16,TSLA,long,0.8119299177
85,2020-09-17,AAPL,long,0.02904850818
297,2020-09-17,TSLA,long,-0.1517584352
562,2020-09-17,MSFT,long,-0.1440008092
298,2020-09-18,TSLA,short,-0.2190939607
